Month,Days present,Days expected,Coverage gap,Reported decisions,Fully automated %,Partially automated %,Non-automated %
2024-01,31,31,False,69233262,92.54754600469353,0.0,7.452453995306476
2024-02,29,29,False,62716118,92.59580447884227,0.0,7.404195521157734
2024-03,31,31,False,80315552,92.61049964519947,1.2450888714554311e-06,7.389499109711653
2024-04,30,30,False,70525852,93.55885413479301,0.0,6.441145865206989
2024-05,31,31,False,90932579,95.0379280455688,0.0,4.962071954431205
2024-06,25,30,True,83526293,94.42338713631167,0.0,5.576612863688323
2024-07,31,31,False,92116493,94.39001873421299,0.0,5.609981265787007
2024-08,31,31,False,89830165,94.86917451392858,0.0,5.13082548607141
2024-09,30,30,False,83119407,94.79442749152433,0.0,5.205572508475668
2024-10,31,31,False,88394519,93.29513971335712,0.0,6.7048602866428855
2024-11,30,30,False,85620232,94.26516503716084,0.0,5.734834962839157
2024-12,31,31,False,81565767,94.8014710632219,0.0,5.198528936778097
2025-01,31,31,False,110138416,95.29015470859868,0.0,4.709845291401322
2025-02,28,28,False,154715146,95.52256894098785,0.0,4.4774310590121535
2025-03,31,31,False,201931930,95.8843472649422,0.0,4.1156527350577985
2025-04,30,30,False,186309696,95.08855083956553,0.0,4.911449160434462
2025-05,31,31,False,102815617,96.38149620791557,0.0,3.6185037920844265
2025-06,30,30,False,77565424,94.800141877649,3.867702702173071e-06,5.199854254648308
2025-07,31,31,False,33081573,92.54448390347098,0.001021716833114314,7.4544943796959116
2025-08,31,31,False,48490818,92.15099650412166,0.0008022137304427408,7.84820128214789
2025-09,4,30,True,5367152,92.90651727396579,0.0006334830837658408,7.092849242950451
2025-10,22,31,True,43302182,91.96429408568834,0.0005380791203547202,8.035167835191308
2025-11,30,30,False,18497228,94.82146730310077,0.0002865294194351716,5.178246167479798
2025-12,30,31,True,20513138,89.86641146761652,0.0011261075706700749,10.13246242481282
