Year,Month,Category,Method,Count
2025,2025-04,Risk for public security,Fully automated,0
2025,2025-04,Risk for public security,Partially automated,0
2025,2025-04,Risk for public security,Non-automated,425
2025,2025-05,Risk for public security,Fully automated,0
2025,2025-05,Risk for public security,Partially automated,0
2025,2025-05,Risk for public security,Non-automated,220
2026,2026-01,Risk for public security,Fully automated,0
2026,2026-01,Risk for public security,Partially automated,0
2026,2026-01,Risk for public security,Non-automated,542
2026,2026-02,Risk for public security,Fully automated,0
2026,2026-02,Risk for public security,Partially automated,0
2026,2026-02,Risk for public security,Non-automated,411
2026,2026-03,Risk for public security,Fully automated,0
2026,2026-03,Risk for public security,Partially automated,0
2026,2026-03,Risk for public security,Non-automated,302
2026,2026-04,Risk for public security,Fully automated,0
2026,2026-04,Risk for public security,Partially automated,0
2026,2026-04,Risk for public security,Non-automated,215
2026,2026-05,Risk for public security,Fully automated,0
2026,2026-05,Risk for public security,Partially automated,0
2026,2026-05,Risk for public security,Non-automated,413
2024,2024-01,Protection of minors,Fully automated,321363
2024,2024-01,Protection of minors,Partially automated,0
2024,2024-01,Protection of minors,Non-automated,1278539
2024,2024-02,Protection of minors,Fully automated,309101
2024,2024-02,Protection of minors,Partially automated,0
2024,2024-02,Protection of minors,Non-automated,1333469
2024,2024-03,Protection of minors,Fully automated,8681725
2024,2024-03,Protection of minors,Partially automated,0
2024,2024-03,Protection of minors,Non-automated,1937144
2024,2024-04,Protection of minors,Fully automated,9543599
2024,2024-04,Protection of minors,Partially automated,0
2024,2024-04,Protection of minors,Non-automated,1297056
2024,2024-05,Protection of minors,Fully automated,1988778
2024,2024-05,Protection of minors,Partially automated,0
2024,2024-05,Protection of minors,Non-automated,1080676
2025,2025-01,Protection of minors,Fully automated,707286
2025,2025-01,Protection of minors,Partially automated,0
2025,2025-01,Protection of minors,Non-automated,855050
2025,2025-02,Protection of minors,Fully automated,890736
2025,2025-02,Protection of minors,Partially automated,0
2025,2025-02,Protection of minors,Non-automated,1222061
2025,2025-03,Protection of minors,Fully automated,1057082
2025,2025-03,Protection of minors,Partially automated,0
2025,2025-03,Protection of minors,Non-automated,1570040
2025,2025-04,Protection of minors,Fully automated,1184299
2025,2025-04,Protection of minors,Partially automated,0
2025,2025-04,Protection of minors,Non-automated,2056679
2025,2025-05,Protection of minors,Fully automated,551211
2025,2025-05,Protection of minors,Partially automated,0
2025,2025-05,Protection of minors,Non-automated,947036
2026,2026-01,Protection of minors,Fully automated,661905
2026,2026-01,Protection of minors,Partially automated,120
2026,2026-01,Protection of minors,Non-automated,1066104
2026,2026-02,Protection of minors,Fully automated,218475
2026,2026-02,Protection of minors,Partially automated,0
2026,2026-02,Protection of minors,Non-automated,504060
2026,2026-03,Protection of minors,Fully automated,81206
2026,2026-03,Protection of minors,Partially automated,0
2026,2026-03,Protection of minors,Non-automated,194985
2026,2026-04,Protection of minors,Fully automated,76290
2026,2026-04,Protection of minors,Partially automated,0
2026,2026-04,Protection of minors,Non-automated,170053
2026,2026-05,Protection of minors,Fully automated,96332
2026,2026-05,Protection of minors,Partially automated,0
2026,2026-05,Protection of minors,Non-automated,169457
